,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600036.XSHG,600036,招商银行,XSHG,2021-09-24,48.84,48.84,48.45,49.33,48.4,48.77,53203933,2596408378,85892,0.0026,1,1006073618388,1229971869912,-0.0014,11.3149,10.057,1.6294,1,48.801
1,600036.XSHG,600036,招商银行,XSHG,2021-09-27,48.77,48.77,48.29,49.8,48.21,49.09,66790515,3265832147,105130,0.0032,1,1012674880596,1238042220504,0.0066,11.3891,10.123,1.6401,1,48.897
2,600036.XSHG,600036,招商银行,XSHG,2021-09-28,49.09,49.09,49.1,50.98,49.09,50.42,70992547,3562616329,123044,0.0034,1,1040111376648,1271584615152,0.0271,11.6977,10.3973,1.6845,1,50.183
3,600036.XSHG,600036,招商银行,XSHG,2021-09-29,50.42,50.42,49.95,52.17,49.61,51.56,90460986,4619317490,129356,0.0044,1,1063628373264,1300335239136,0.0226,11.9622,10.6323,1.7226,1,51.064
4,600036.XSHG,600036,招商银行,XSHG,2021-09-30,51.56,51.56,51.4,51.43,50.1,50.45,58611808,2960621631,104560,0.0028,1,1040730244980,1272341210520,-0.0215,11.7046,10.4034,1.6855,1,50.512
5,600036.XSHG,600036,招商银行,XSHG,2021-10-08,50.45,50.45,50.02,51.08,50.02,50.93,64555292,3266919267,90170,0.0031,1,1050632138292,1284446736408,0.0095,11.816,10.5024,1.7015,1,50.607
6,600036.XSHG,600036,招商银行,XSHG,2021-10-11,50.93,50.93,51.44,54.18,51.44,53.0,97177865,5171368866,169712,0.0047,1,1093334053200,1336651816800,0.0406,12.2963,10.9293,1.7707,1,53.216
7,600036.XSHG,600036,招商银行,XSHG,2021-10-12,53.0,53.0,52.7,53.79,52.3,53.09,58937329,3129716165,114765,0.0029,1,1095190658196,1338921602904,0.0017,12.3171,10.9478,1.7737,1,53.102
8,600036.XSHG,600036,招商银行,XSHG,2021-10-13,53.09,53.09,52.95,53.4,52.05,53.03,44255673,2335530448,79146,0.0021,1,1093952921532,1337408412168,-0.0011,12.3032,10.9355,1.7717,1,52.774
9,600036.XSHG,600036,招商银行,XSHG,2021-10-14,53.03,53.03,52.99,53.25,52.2,52.36,28899621,1518009834,56639,0.0014,1,1080131528784,1320511115616,-0.0126,12.1478,10.7973,1.7493,1,52.527
